org_id,sector,ai_present,adoption_level,ai_tools_count,manager_training,governance_present,hybrid_ratio_pct,productivity_change_pct,employee_trust_score,performance_outcome
ORG0030,Finance,1,Reactive,0,0,0,27.73648890700623,2.89,3,0
ORG0031,Healthcare,1,Strategic,4,1,0,56.619099335991734,2.13,4,0
ORG0032,Manufacturing,1,Reactive,3,0,0,35.1534959152938,0.77,4,0
ORG0033,Healthcare,0,None,0,0,0,41.58990710155151,0.28,2,0
ORG0034,Finance,0,None,0,0,0,38.1139739192858,-0.74,3,0
ORG0035,Manufacturing,1,Transformative,8,1,0,58.292896637589884,8.12,3,1
ORG0036,Services,1,Transformative,3,1,0,38.924345839587,9.65,3,1
ORG0037,Services,1,Strategic,5,1,0,24.51280132862124,4.98,1,0
ORG0038,Services,1,Reactive,1,0,1,61.55647274850078,2.49,3,0
ORG0039,Technology,0,None,0,0,0,27.93442541572516,0.96,2,0
ORG0040,Education,0,None,0,0,0,13.888043384351672,-0.94,3,0
ORG0041,Manufacturing,1,Strategic,1,0,0,24.764860983197693,4.9,4,1
ORG0042,Healthcare,0,None,0,0,0,46.5629465219606,-2.39,2,0
ORG0043,Education,1,Transformative,4,1,0,42.10441081591347,9.11,4,1
ORG0044,Manufacturing,1,Strategic,1,0,1,41.09340027574893,9.38,3,1
ORG0045,Finance,1,Strategic,5,1,1,43.57021265490182,6.94,4,1
ORG0046,Finance,0,None,0,0,0,57.149879381444435,0.35,3,0
ORG0047,Education,0,None,0,0,0,39.43216286634775,-1.69,3,0
ORG0048,Education,0,None,0,0,0,33.7037973975258,-4.4,2,0
ORG0049,Finance,1,Transformative,10,0,0,50.90670221165702,12.08,2,1
ORG0050,Manufacturing,1,Transformative,5,1,0,30.442033468536092,10.29,4,1
ORG0051,Manufacturing,1,Reactive,2,0,0,30.958897483331633,3.44,4,0
ORG0052,Finance,1,Transformative,8,0,1,36.111421706296625,9.73,3,1
ORG0053,Technology,1,Transformative,2,1,1,27.04613572441339,7.41,4,1
ORG0054,Technology,1,Strategic,5,0,0,19.47136516370939,6.7,2,0
ORG0055,Manufacturing,1,Reactive,2,0,0,47.771031385682434,0.02,3,0
ORG0056,Healthcare,1,Strategic,2,1,0,49.52934734456632,2.88,2,0
ORG0057,Finance,1,Transformative,7,1,1,21.865726199228643,6.23,4,1
ORG0058,Finance,0,None,0,0,0,63.64124960705196,-2.3,3,0
ORG0059,Technology,1,Reactive,1,0,0,0.0,3.37,3,0
ORG0060,Education,0,None,0,0,0,33.72636751256252,-0.95,2,0
ORG0061,Manufacturing,0,None,0,0,0,65.64980734523458,3.74,3,0
ORG0062,Technology,1,Strategic,3,1,0,23.57397626408271,4.87,2,0
ORG0063,Healthcare,1,Reactive,3,0,0,51.59493657242664,3.54,2,0
ORG0064,Finance,1,Transformative,4,0,0,71.50772117603624,9.98,4,1
ORG0065,Education,1,Transformative,8,1,1,24.85380469273942,4.54,4,1
ORG0066,Healthcare,1,Transformative,6,1,1,22.34682556631794,10.02,4,1
ORG0067,Healthcare,0,None,0,0,0,27.689074641182785,1.31,2,0
ORG0068,Manufacturing,1,Strategic,4,0,1,22.74497841108659,7.57,3,1
ORG0069,Technology,1,Strategic,4,0,1,37.55891305371295,6.67,3,1
ORG0070,Services,1,Strategic,0,1,1,0.1292050782139782,8.56,4,1
ORG0071,Services,1,Reactive,4,0,0,73.0803665260623,3.05,2,0
ORG0072,Finance,0,None,0,0,0,32.99898713162684,2.2,1,0
ORG0073,Services,1,Reactive,1,1,0,31.313854038710836,1.45,1,0
ORG0074,Services,1,Strategic,3,0,0,34.18557700223282,3.4,3,0
ORG0075,Services,1,Strategic,3,1,1,34.50870094676002,3.91,3,0
ORG0076,Manufacturing,1,Strategic,2,1,0,36.596453415378456,2.18,2,0
ORG0077,Manufacturing,1,Reactive,1,0,1,24.43294844810705,0.54,4,0
ORG0078,Technology,1,Reactive,5,0,0,33.044822810191874,3.19,3,0
ORG0079,Technology,1,Reactive,4,0,0,24.43484464185861,-0.82,2,0
ORG0080,Manufacturing,1,Strategic,7,1,0,44.0901492701846,9.31,3,1
ORG0081,Finance,1,Transformative,2,0,1,10.556105210355092,10.1,5,1
ORG0082,Education,1,Reactive,4,0,1,45.76387369689575,1.68,4,0
ORG0083,Finance,1,Reactive,0,0,1,13.484525492617315,3.16,3,0
ORG0084,Finance,1,Reactive,3,0,0,23.023414288744195,0.85,3,0
ORG0085,Healthcare,1,Reactive,0,1,0,34.47517264254557,5.54,2,0
ORG0086,Technology,0,None,0,0,0,62.186728369953926,1.76,3,0
ORG0087,Finance,1,Strategic,3,1,1,50.9685301704005,5.24,4,1
ORG0088,Manufacturing,1,Transformative,6,1,1,44.279929395648985,10.64,4,1
ORG0089,Technology,1,Reactive,4,1,1,13.922601164533102,3.0,3,0
ORG0090,Manufacturing,1,Reactive,3,0,1,54.168902438572474,2.16,4,0
ORG0091,Services,0,None,0,0,0,27.240673248494417,3.32,4,0
ORG0092,Education,0,None,0,0,0,29.557421593405113,-0.39,4,0
ORG0093,Finance,1,Reactive,1,0,0,5.994825483386595,-0.41,2,0
ORG0094,Services,0,None,0,0,0,45.239348546857194,0.17,2,0
ORG0095,Education,0,None,0,0,0,69.64584133109281,-0.83,4,0
ORG0096,Healthcare,1,Reactive,2,0,0,59.316628366815735,1.25,2,0
ORG0097,Manufacturing,1,Reactive,1,1,0,58.212578019950925,5.59,2,0
ORG0098,Services,0,None,0,0,0,29.184476600960238,1.07,3,0
ORG0099,Manufacturing,1,Reactive,2,0,0,27.23583051445743,2.45,3,0
ORG0100,Healthcare,1,Transformative,13,1,1,52.82589910172126,8.26,3,1
ORG0101,Manufacturing,1,Transformative,1,0,1,37.86648602029855,9.09,3,1
ORG0102,Manufacturing,1,Transformative,8,1,1,46.193803490408314,11.15,3,1
ORG0103,Technology,1,Reactive,4,0,0,58.482860438515104,1.87,2,0
ORG0104,Finance,0,None,0,0,0,63.21735604160885,-2.4,1,0
ORG0105,Technology,0,None,0,0,0,19.6815077430393,1.92,3,0
ORG0106,Manufacturing,1,Transformative,8,1,1,26.538820538949075,6.5,5,1
ORG0107,Education,1,Transformative,6,1,0,37.94781754552205,10.42,3,1
ORG0108,Technology,1,Strategic,3,1,0,56.601758231742096,3.73,3,0
ORG0109,Healthcare,1,Reactive,2,0,0,40.58197086639741,2.96,3,0
ORG0110,Technology,1,Transformative,3,1,1,26.4349292054064,9.42,2,1
ORG0111,Technology,1,Reactive,0,0,0,61.96529790274284,3.28,2,0
ORG0112,Technology,1,Strategic,4,0,0,43.58874172034238,6.79,3,1
ORG0113,Finance,0,None,0,0,0,54.76091098451489,0.9,4,0
ORG0114,Healthcare,1,Reactive,2,0,0,24.662182728656482,3.05,2,0
ORG0115,Manufacturing,1,Strategic,5,0,0,51.36569153247001,4.78,3,0
ORG0116,Finance,1,Strategic,8,0,0,48.09737822928723,6.6,3,1
ORG0117,Technology,1,Strategic,5,0,0,34.61668893512832,7.35,3,1
ORG0118,Finance,1,Strategic,5,0,0,29.44078501870841,1.89,3,0
ORG0119,Technology,1,Strategic,4,1,1,47.70618514977552,7.45,4,1
ORG0120,Education,1,Transformative,4,1,1,33.657160846281414,8.74,3,1
ORG0121,Services,1,Strategic,2,1,0,37.09013890431896,5.91,3,1
ORG0122,Healthcare,1,Strategic,5,1,0,51.28799512801709,3.75,4,0
ORG0123,Education,1,Strategic,5,0,1,37.96348985258573,5.9,3,1
ORG0124,Manufacturing,1,Strategic,4,1,1,45.02611941413548,5.68,5,1
ORG0125,Manufacturing,0,None,0,0,0,9.728219077693069,-1.37,4,0
ORG0126,Manufacturing,0,None,0,0,0,43.54925458012073,3.08,3,0
ORG0127,Technology,1,Reactive,2,0,0,11.709093982759434,1.39,2,0
ORG0128,Technology,1,Strategic,4,0,0,25.985390554949582,2.69,2,0
ORG0129,Finance,1,Strategic,3,0,1,46.38392884680148,5.56,4,1
ORG0130,Technology,0,None,0,0,0,34.06110308150716,-1.01,3,0
ORG0131,Healthcare,1,Reactive,2,0,1,20.155577951444936,3.88,3,0
ORG0132,Technology,1,Reactive,0,0,1,31.63050275004463,-1.19,4,0
ORG0133,Services,1,Transformative,10,1,1,16.342051469130723,7.61,3,1
ORG0134,Education,1,Strategic,5,1,1,48.42386565416662,7.45,5,1
ORG0135,Healthcare,1,Strategic,4,0,0,49.64575930193154,7.21,3,1
ORG0136,Healthcare,1,Reactive,1,0,1,26.987774754678547,0.7,3,0
ORG0137,Technology,1,Reactive,4,1,0,53.41503488709938,-0.42,4,0
ORG0138,Healthcare,1,Strategic,3,0,0,41.28528514049068,8.17,3,1
ORG0139,Finance,1,Transformative,8,0,1,27.087960145792156,9.72,4,1
ORG0140,Manufacturing,1,Reactive,0,0,0,43.73593939976094,2.17,3,0
ORG0141,Finance,1,Strategic,6,0,1,28.421191906140564,7.33,4,1
ORG0142,Finance,1,Strategic,7,1,1,43.99391169922241,7.78,4,1
ORG0143,Technology,1,Strategic,1,1,0,42.6163650546725,5.11,2,0
ORG0144,Healthcare,1,Reactive,2,0,0,25.302057182113437,0.62,3,0
ORG0145,Services,1,Strategic,1,0,0,25.798960046885902,4.4,3,0
ORG0146,Healthcare,0,None,0,0,0,37.55624333563232,1.37,4,0
ORG0147,Finance,1,Strategic,4,1,0,43.12194092307182,6.52,2,0
ORG0148,Technology,1,Strategic,1,1,1,0.0,3.01,4,0
ORG0149,Healthcare,1,Transformative,6,1,1,39.27334838858298,9.41,4,1
ORG0150,Finance,1,Transformative,7,1,0,18.18766451719419,9.92,2,1
ORG0151,Healthcare,1,Reactive,0,0,1,14.793105657054554,0.06,4,0
ORG0152,Manufacturing,1,Reactive,2,0,0,25.146585815429063,3.99,2,0
ORG0153,Manufacturing,1,Reactive,3,0,0,56.83428035121675,5.6,3,0
ORG0154,Manufacturing,1,Reactive,2,1,0,43.901437597904135,3.16,3,0
ORG0155,Technology,1,Reactive,5,1,0,31.269633107246793,5.21,3,0
ORG0156,Manufacturing,1,Reactive,1,0,1,46.02316679074726,1.81,4,0
ORG0157,Manufacturing,0,None,0,0,0,35.45718275398497,-2.48,3,0
ORG0158,Healthcare,1,Strategic,6,1,1,45.85420428766669,6.66,3,1
ORG0159,Services,1,Strategic,4,0,0,39.16974597114063,7.91,2,0
ORG0160,Technology,1,Transformative,7,0,1,18.40537728157487,5.95,4,1
ORG0161,Education,1,Strategic,3,1,1,59.46393771894411,6.91,3,1
ORG0162,Education,1,Reactive,4,0,0,47.41775143943627,1.14,2,0
ORG0163,Finance,1,Reactive,5,0,1,31.602738517252522,0.08,3,0
ORG0164,Healthcare,1,Reactive,0,0,0,51.33122929556279,2.28,2,0
ORG0165,Finance,0,None,0,0,0,28.009452471976367,-2.69,3,0
ORG0166,Healthcare,1,Reactive,3,0,1,27.00948740507133,2.71,3,0
ORG0167,Technology,1,Strategic,1,0,0,21.830261198651584,3.35,3,0
ORG0168,Finance,1,Strategic,1,0,0,40.510482602242675,5.2,2,0
ORG0169,Finance,1,Transformative,6,1,1,18.344007240559687,10.13,3,1
ORG0170,Services,1,Reactive,1,0,0,71.22186497987947,2.4,4,0
ORG0171,Healthcare,1,Transformative,5,1,1,28.274296714191767,13.02,5,1
ORG0172,Healthcare,1,Strategic,2,0,0,19.48440758114603,3.58,2,0
ORG0173,Finance,1,Strategic,6,1,1,34.08434861795006,3.53,4,0
ORG0174,Healthcare,1,Strategic,5,0,0,48.21927172149153,8.75,4,1
ORG0175,Education,1,Transformative,8,1,1,20.673161309759706,9.85,5,1
ORG0176,Technology,0,None,0,0,0,18.987006286185906,0.55,4,0
ORG0177,Services,1,Transformative,4,1,1,52.81079077347127,14.18,4,1
ORG0178,Technology,1,Reactive,2,1,1,39.886944748732496,4.63,4,1
ORG0179,Healthcare,1,Strategic,3,0,0,26.520728354013773,4.18,2,0
ORG0180,Manufacturing,1,Strategic,5,1,1,4.554891983906266,4.07,4,0
ORG0181,Technology,0,None,0,0,0,43.80040702212912,-0.45,3,0
ORG0182,Manufacturing,1,Reactive,4,0,0,14.810304796298773,3.27,4,0
ORG0183,Finance,0,None,0,0,0,45.08860551804097,4.3,3,0
ORG0184,Healthcare,0,None,0,0,0,20.382060429940378,-3.85,3,0
ORG0185,Services,1,Strategic,7,1,1,48.329941303264405,3.95,4,0
ORG0186,Technology,1,Strategic,0,1,0,29.202849241220388,1.23,3,0
ORG0187,Healthcare,1,Reactive,5,1,0,33.433261721937924,1.66,3,0
ORG0188,Technology,0,None,0,0,0,52.42817453912286,-1.35,3,0
ORG0189,Technology,0,None,0,0,0,49.62796444673644,1.5,3,0
ORG0190,Healthcare,1,Reactive,4,0,1,50.01569138850712,5.28,4,1
ORG0191,Technology,1,Reactive,5,0,0,33.41704921996539,1.63,2,0
ORG0192,Technology,1,Reactive,1,1,0,1.8837362542614642,-1.01,3,0
ORG0193,Technology,1,Reactive,0,0,0,30.36186384425205,0.5,3,0
ORG0194,Healthcare,1,Transformative,8,1,1,55.10675669034717,7.58,3,1
ORG0195,Finance,1,Transformative,4,1,1,27.754084224748407,9.29,5,1
ORG0196,Technology,1,Strategic,3,1,0,48.452589737982976,6.02,3,1
ORG0197,Manufacturing,1,Strategic,7,0,0,17.844106890190073,5.22,3,0
ORG0198,Finance,1,Strategic,7,1,0,31.878247140911903,3.11,2,0
ORG0199,Education,1,Transformative,9,0,0,18.414429972710963,8.57,3,1
ORG0200,Technology,1,Strategic,2,0,0,46.6949079840401,6.93,4,1
ORG0201,Finance,1,Transformative,2,1,1,43.194263720055496,9.01,3,1
ORG0202,Technology,1,Reactive,1,0,1,33.35585294111254,1.81,4,0
ORG0203,Services,1,Transformative,6,0,1,58.59221961375772,9.5,3,1
ORG0204,Finance,1,Reactive,3,0,0,53.415813157087676,-0.15,3,0
ORG0205,Finance,1,Strategic,5,1,1,34.54783595718723,3.86,3,0
ORG0206,Services,0,None,0,0,0,38.61387495934203,1.03,4,0
ORG0207,Education,1,Transformative,9,1,1,21.414015487060716,7.69,3,1
ORG0208,Healthcare,1,Strategic,6,0,1,55.61657139756226,4.61,4,1
ORG0209,Education,0,None,0,0,0,43.90335083421293,-5.38,3,0
ORG0210,Technology,1,Strategic,2,0,1,37.92104292078162,3.75,4,0
ORG0211,Technology,0,None,0,0,0,49.2968756806413,1.53,3,0
ORG0212,Manufacturing,1,Strategic,4,0,1,42.742674306724375,4.67,3,0
ORG0213,Finance,1,Reactive,1,0,1,35.45286180815233,3.22,3,0
ORG0214,Healthcare,0,None,0,0,0,31.708342825327055,0.14,3,0
ORG0215,Technology,1,Reactive,4,0,0,11.888104363536996,1.73,3,0
ORG0216,Manufacturing,1,Strategic,4,1,1,35.347080846472515,2.79,4,0
ORG0217,Manufacturing,0,None,0,0,0,38.54872626314296,3.24,2,0
ORG0218,Manufacturing,1,Strategic,3,1,0,35.9790229301383,5.0,3,0
ORG0219,Technology,1,Strategic,0,1,1,47.37647397001452,3.27,3,0
ORG0220,Finance,1,Transformative,8,1,1,30.44410956835003,11.85,4,1
ORG0221,Technology,1,Strategic,4,0,1,44.23656724656712,7.41,4,1
ORG0222,Services,1,Strategic,2,1,0,28.247161027228827,4.09,4,0
ORG0223,Education,0,None,0,0,0,44.333107160651025,-1.78,4,0
ORG0224,Technology,1,Strategic,6,1,0,33.863535701968104,4.34,3,0
ORG0225,Finance,1,Reactive,1,0,0,12.120213646498165,-0.27,3,0
ORG0226,Finance,1,Strategic,8,1,0,0.0,4.52,3,0
ORG0227,Finance,1,Reactive,1,1,0,37.47141261854775,2.1,3,0
ORG0228,Education,1,Strategic,4,1,0,38.659297968627506,5.04,3,0
ORG0229,Services,1,Strategic,4,1,0,42.47332622745178,7.28,4,1
ORG0230,Finance,1,Transformative,4,1,1,19.773587122581972,7.33,5,1
ORG0231,Technology,0,None,0,0,0,10.88508459322912,0.87,4,0
ORG0232,Technology,1,Transformative,3,1,1,35.10199766839997,9.9,4,1
ORG0233,Technology,0,None,0,0,0,35.7194216897232,1.16,3,0
ORG0234,Healthcare,1,Strategic,9,0,0,10.739555748371483,6.44,2,0
ORG0235,Manufacturing,1,Strategic,0,0,0,16.243883990454236,6.21,3,1
ORG0236,Manufacturing,1,Strategic,3,1,0,28.218645007503795,2.31,2,0
ORG0237,Manufacturing,0,None,0,0,0,36.50780141762243,1.68,4,0
ORG0238,Finance,1,Strategic,2,0,0,26.11600203762327,1.95,3,0
ORG0239,Technology,1,Reactive,4,1,0,22.923361401705613,3.92,3,0
ORG0240,Services,0,None,0,0,0,30.641373453539565,3.32,3,0
ORG0241,Healthcare,1,Reactive,2,0,0,35.16712344573136,3.42,4,0
ORG0242,Education,1,Strategic,4,0,1,29.46806094983247,6.38,2,0
ORG0243,Technology,0,None,0,0,0,24.02729894155505,-1.55,2,0
ORG0244,Technology,1,Transformative,8,1,1,23.764527935673566,11.92,2,1
ORG0245,Manufacturing,1,Strategic,4,0,0,11.173031893736628,6.59,3,1
ORG0246,Technology,1,Strategic,9,1,1,47.05047573231744,3.88,3,0
ORG0247,Finance,0,None,0,0,0,41.59251845930339,2.06,3,0
ORG0248,Services,1,Strategic,2,1,1,60.11738650021306,1.96,3,0
ORG0249,Manufacturing,0,None,0,0,0,42.50998582071814,0.6,3,0
ORG0250,Manufacturing,0,None,0,0,0,25.095182907898295,1.48,2,0
ORG0251,Healthcare,1,Reactive,1,1,0,40.64861022708686,3.62,2,0
ORG0252,Manufacturing,1,Transformative,4,0,1,46.58142183462934,11.5,3,1
ORG0253,Finance,1,Strategic,4,1,1,43.11585145238956,4.69,5,1
ORG0254,Manufacturing,1,Strategic,4,0,0,52.19935874842891,2.34,3,0
ORG0255,Services,1,Strategic,3,0,1,33.748430453144586,2.1,3,0
ORG0256,Manufacturing,0,None,0,0,0,19.940639418777522,-0.94,3,0
ORG0257,Technology,0,None,0,0,0,26.799798731191018,-0.04,4,0
ORG0258,Manufacturing,1,Reactive,3,1,0,55.10691577685522,3.31,2,0
ORG0259,Education,0,None,0,0,0,31.776344672748827,1.05,4,0
ORG0260,Manufacturing,1,Reactive,4,0,0,45.87085786841388,0.27,3,0
ORG0261,Manufacturing,0,None,0,0,0,10.918023654214306,-0.38,4,0
ORG0262,Technology,1,Strategic,2,0,0,27.613308885042233,5.72,3,0
ORG0263,Technology,1,Reactive,0,0,0,60.57521220810545,1.4,4,0
ORG0264,Technology,0,None,0,0,0,49.956406332418005,1.32,3,0
ORG0265,Education,0,None,0,0,0,13.993706595038486,0.91,4,0
ORG0266,Manufacturing,1,Reactive,2,0,1,45.220092547784134,3.62,3,0
ORG0267,Manufacturing,0,None,0,0,0,67.12074677766616,-1.0,3,0
ORG0268,Finance,1,Strategic,3,0,0,19.740141383038928,5.05,1,0
ORG0269,Technology,1,Transformative,4,1,1,46.85557844077567,9.68,4,1
ORG0270,Technology,1,Reactive,2,0,0,49.52276990799292,2.96,3,0
ORG0271,Finance,0,None,0,0,0,33.118186099956496,1.16,3,0
ORG0272,Services,0,None,0,0,0,1.7104944087869711,0.04,2,0
ORG0273,Healthcare,1,Reactive,5,1,0,20.182867481179702,3.07,2,0
ORG0274,Technology,1,Reactive,1,1,1,46.15723547750687,0.58,3,0
ORG0275,Technology,1,Strategic,2,0,0,50.32074943144097,9.18,2,1
ORG0276,Healthcare,1,Strategic,4,1,1,6.801134222914325,3.15,4,0
ORG0277,Finance,1,Strategic,4,1,0,74.31189636544963,2.78,4,0
ORG0278,Finance,1,Strategic,6,1,1,49.952881601987116,3.4,4,0
ORG0279,Finance,0,None,0,0,0,34.35764928032638,0.62,3,0
ORG0280,Services,1,Strategic,5,1,0,1.2966599902309213,2.49,2,0
ORG0281,Technology,1,Strategic,1,0,1,44.772829870092586,2.72,3,0
ORG0282,Education,1,Strategic,6,1,1,34.90218027155813,7.81,4,1
ORG0283,Technology,1,Transformative,9,1,0,25.54531281120528,6.98,2,0
ORG0284,Finance,0,None,0,0,0,24.689235318639497,-2.24,3,0
ORG0285,Technology,1,Strategic,6,0,1,22.738986546389754,3.78,3,0
ORG0286,Healthcare,1,Strategic,2,0,1,45.5177948910556,3.1,5,0
ORG0287,Finance,1,Reactive,2,0,1,16.469842742809927,4.33,4,0
ORG0288,Services,0,None,0,0,0,30.61610357147346,-0.44,3,0
ORG0289,Healthcare,1,Reactive,4,1,0,33.53994772005976,0.99,4,0
ORG0290,Healthcare,1,Strategic,3,1,0,26.036470463495508,5.77,4,1
ORG0291,Healthcare,1,Transformative,10,1,1,44.382620252465536,10.77,3,1
ORG0292,Healthcare,1,Strategic,5,1,1,36.85321543933374,5.81,3,0
ORG0293,Healthcare,1,Strategic,2,1,1,42.846185060035914,7.66,4,1
ORG0294,Education,0,None,0,0,0,42.49649657744034,-1.46,5,0
ORG0295,Finance,1,Strategic,3,1,1,33.89078651587411,4.1,4,0
ORG0296,Services,0,None,0,0,0,23.625768966686145,-1.76,3,0
ORG0297,Education,0,None,0,0,0,44.442943763327165,-1.11,3,0
ORG0298,Services,1,Transformative,4,1,0,25.52633406252003,8.59,2,0
ORG0299,Technology,1,Reactive,0,0,0,31.1573037125693,1.52,3,0
ORG0300,Finance,0,None,0,0,0,42.19162277129096,-1.91,2,0
ORG0301,Technology,1,Reactive,0,0,0,43.925441987533475,0.89,3,0
ORG0302,Education,1,Reactive,2,0,0,21.09952536729034,2.37,5,0
ORG0303,Technology,1,Reactive,2,0,0,33.2485112630713,0.73,4,0
ORG0304,Healthcare,1,Transformative,10,0,1,30.181358508231327,10.9,3,1
ORG0305,Finance,1,Strategic,4,0,0,68.281703501722,4.68,3,0
ORG0306,Finance,1,Reactive,1,0,0,12.250361758688133,2.88,2,0
ORG0307,Finance,0,None,0,0,0,36.01240521870913,1.39,3,0
ORG0308,Education,1,Reactive,2,0,1,20.059253209973388,0.64,3,0
ORG0309,Education,1,Reactive,3,0,1,3.6945947209689685,0.83,4,0
ORG0310,Services,1,Reactive,4,0,0,21.354748745272495,-3.5,2,0
ORG0311,Healthcare,0,None,0,0,0,27.106282152238684,3.28,3,0
ORG0312,Technology,1,Reactive,3,0,0,40.74483477111393,2.11,2,0
ORG0313,Finance,0,None,0,0,0,11.703019199467558,-0.1,3,0
ORG0314,Finance,1,Strategic,3,0,0,21.597601491685875,6.37,4,1
ORG0315,Services,1,Reactive,2,0,1,32.079540558249775,1.87,4,0
ORG0316,Services,1,Strategic,7,0,0,38.78360594640016,6.98,4,1
ORG0317,Manufacturing,0,None,0,0,0,18.675207694564193,-2.06,3,0
ORG0318,Finance,1,Transformative,3,0,1,23.009773199359906,9.65,3,1
ORG0319,Technology,0,None,0,0,0,36.27814174450852,-5.48,3,0
ORG0320,Manufacturing,1,Strategic,3,0,1,10.542901344272899,6.27,3,1
ORG0321,Finance,1,Transformative,4,0,0,22.458395061805994,5.23,3,0
ORG0322,Finance,1,Reactive,1,0,0,60.690015692578534,3.82,3,0
ORG0323,Finance,1,Strategic,5,0,1,42.00074351007773,6.01,4,1
ORG0324,Healthcare,1,Transformative,5,1,1,21.319188467691404,9.52,3,1
ORG0325,Finance,0,None,0,0,0,6.382886631839135,-1.22,3,0
ORG0326,Technology,1,Reactive,3,0,0,63.31531486010286,4.31,2,0
ORG0327,Finance,1,Reactive,2,0,0,42.26669907918407,2.92,2,0
ORG0328,Finance,0,None,0,0,0,1.455064575287821,1.17,4,0
ORG0329,Technology,1,Strategic,4,1,1,39.00009145674981,3.19,4,0
ORG0330,Technology,1,Strategic,4,1,1,42.31120890357265,2.86,2,0
ORG0331,Manufacturing,1,Reactive,1,0,0,33.599197116500775,0.94,2,0
ORG0332,Healthcare,1,Transformative,11,1,0,39.823898170088576,9.3,4,1
ORG0333,Education,1,Strategic,5,0,0,33.58311928336996,5.84,2,0
ORG0334,Manufacturing,0,None,0,0,0,54.191973974866265,0.24,3,0
ORG0335,Education,1,Transformative,6,1,1,41.75905119293808,5.26,3,0
ORG0336,Technology,1,Strategic,2,0,0,30.752916548843494,7.1,4,1
ORG0337,Technology,1,Reactive,1,1,1,26.091452419695468,1.79,4,0
ORG0338,Finance,1,Strategic,1,1,1,27.20037367388717,1.54,5,0
ORG0339,Services,1,Reactive,3,1,0,53.15365250760314,1.46,2,0
ORG0340,Technology,0,None,0,0,0,44.82560920672684,-3.47,2,0
ORG0341,Education,1,Reactive,2,1,0,45.096980310345685,-2.74,3,0
ORG0342,Education,1,Reactive,2,0,0,17.208961529008803,5.14,2,0
ORG0343,Technology,1,Reactive,1,1,1,12.998222140764845,1.0,4,0
ORG0344,Manufacturing,0,None,0,0,0,42.734421326659344,-1.71,3,0
ORG0345,Manufacturing,1,Strategic,8,1,0,69.22477754808264,3.76,2,0
ORG0346,Finance,1,Transformative,6,1,0,6.799849491383544,7.1,2,0
ORG0347,Manufacturing,1,Transformative,10,1,1,23.970448089770716,10.44,3,1
ORG0348,Manufacturing,1,Reactive,2,0,0,46.36242724006228,0.31,4,0
ORG0349,Healthcare,0,None,0,0,0,28.731356813511642,-3.55,2,0
ORG0350,Healthcare,1,Reactive,0,0,1,63.671286307095855,2.37,4,0
ORG0351,Healthcare,1,Reactive,2,0,0,41.61960727548869,0.53,3,0
ORG0352,Manufacturing,0,None,0,0,0,7.131478229025692,1.78,4,0
ORG0353,Manufacturing,0,None,0,0,0,21.783974950080616,-0.92,4,0
ORG0354,Healthcare,1,Strategic,3,1,1,56.54503108558968,3.48,4,0
ORG0355,Finance,1,Transformative,3,1,1,52.552980637949055,9.27,4,1
